monthly_spending_ratio,savings_ratio,income_level,fixed_commitments_ratio,goal_progress_ratio,goal_delay_ratio,expense_frequency,spending_variance,emergency_fund_ratio,income_growth_rate,income_stability,risk_level,target_class
0.8143,0.0543,0.4583,0.7529,0.2871,0.5546,0.7692,0.7012,0.0744,-0.0412,0.4737,0.8066,0
0.7722,0.0164,0.483,0.7282,0.3462,0.5986,0.8437,0.7093,0.0696,-0.0331,0.4146,0.7502,0
0.9447,0.0184,0.486,0.6857,0.2189,0.7159,0.8624,0.7199,0.0646,-0.0441,0.4894,0.8851,0
0.8768,0.0487,0.5645,0.68,0.2888,0.7942,0.7464,0.8495,0.1426,-0.0309,0.4827,0.7594,0
0.8467,0.0585,0.5782,0.6701,0.2242,0.7915,0.7624,0.7466,0.0968,-0.0209,0.3263,0.8038,0
0.7579,0.0318,0.5653,0.7328,0.2114,0.7981,0.7511,0.7116,0.1377,-0.0497,0.3664,0.7642,0
0.9327,0.0199,0.5183,0.7247,0.3414,0.7748,0.7295,0.8037,0.1336,-0.0141,0.4748,0.7189,0
0.7602,0.0122,0.5496,0.7333,0.3322,0.6828,0.8947,0.845,0.1211,-0.0073,0.4355,0.716,0
0.7556,0.0435,0.5371,0.7945,0.2584,0.5841,0.8882,0.7757,0.1209,-0.0103,0.4251,0.7941,0
0.7669,0.0589,0.496,0.7958,0.2123,0.626,0.8133,0.8471,0.0669,-0.0492,0.3424,0.818,0
0.8121,0.0438,0.4887,0.7817,0.2993,0.6008,0.7658,0.8141,0.1039,-0.0091,0.3346,0.8981,0
0.9137,0.0157,0.5347,0.6619,0.2138,0.5185,0.8287,0.7874,0.0728,-0.0375,0.3428,0.7209,0
0.8933,0.0237,0.4743,0.7001,0.3034,0.7559,0.802,0.7485,0.1231,-0.0379,0.3535,0.8974,0
0.8615,0.0268,0.5222,0.6938,0.3334,0.5172,0.8686,0.8275,0.0657,-0.0168,0.4509,0.7926,0
0.9423,0.027,0.5907,0.7927,0.2476,0.7686,0.7226,0.7273,0.1156,-0.0464,0.3236,0.8311,0
0.8565,0.0406,0.5064,0.7226,0.2076,0.5347,0.7727,0.727,0.064,-0.0377,0.4983,0.7462,0
0.8309,0.0378,0.4778,0.7082,0.3202,0.724,0.7422,0.758,0.1489,-0.0,0.397,0.74,0
0.8067,0.0346,0.5865,0.6789,0.2877,0.729,0.7163,0.769,0.1013,-0.0331,0.496,0.8265,0
0.7648,0.0188,0.5439,0.751,0.2045,0.5243,0.7046,0.812,0.1496,-0.0101,0.4728,0.8104,0
0.8017,0.019,0.5972,0.7655,0.3274,0.7793,0.8624,0.8027,0.0905,-0.0073,0.4221,0.8165,0
0.863,0.0141,0.5835,0.7932,0.2585,0.6638,0.7119,0.8045,0.1156,-0.0026,0.4039,0.7767,0
0.9159,0.027,0.494,0.7847,0.2733,0.5174,0.8566,0.7721,0.0716,-0.0273,0.3395,0.8806,0
0.7925,0.0369,0.5743,0.7656,0.2975,0.6887,0.7265,0.7751,0.0798,-0.0287,0.3932,0.7054,0
0.7874,0.0133,0.4737,0.7867,0.2134,0.6676,0.7204,0.8264,0.1049,-0.0193,0.39,0.7566,0
0.9333,0.0474,0.4892,0.7809,0.3445,0.7436,0.7501,0.7228,0.0901,-0.0088,0.4237,0.7999,0
0.7925,0.0292,0.5628,0.6844,0.3349,0.7051,0.8853,0.7516,0.1189,-0.0073,0.3432,0.7278,0
0.8046,0.0498,0.492,0.785,0.2746,0.5356,0.8706,0.7094,0.0686,-0.0153,0.4575,0.8311,0
0.9281,0.0294,0.5931,0.7752,0.2303,0.7491,0.7372,0.8399,0.1276,-0.0319,0.4006,0.8985,0
0.86,0.0299,0.5961,0.7332,0.324,0.5182,0.8183,0.7564,0.1465,-0.0217,0.4944,0.8455,0
0.8008,0.0532,0.5965,0.7319,0.3328,0.6771,0.8541,0.7013,0.0586,-0.0191,0.4542,0.8947,0
0.7541,0.0156,0.566,0.7231,0.2995,0.7958,0.7307,0.724,0.0545,-0.0045,0.4908,0.8464,0
0.8759,0.0523,0.5218,0.7478,0.2583,0.6887,0.8095,0.7779,0.0991,-0.0134,0.4391,0.7924,0
0.9294,0.0485,0.5138,0.7982,0.3376,0.7287,0.7047,0.7501,0.053,-0.0106,0.3207,0.8653,0
0.83,0.0321,0.5763,0.7766,0.342,0.7024,0.8676,0.8471,0.1287,-0.0399,0.3684,0.7105,0
0.7693,0.0306,0.5324,0.6934,0.2307,0.7426,0.7713,0.7841,0.0793,-0.0384,0.3847,0.7098,0
0.7657,0.028,0.5231,0.778,0.2307,0.6196,0.7109,0.7362,0.1122,-0.0335,0.4659,0.7499,0
0.7643,0.0416,0.489,0.7265,0.248,0.7876,0.7009,0.8019,0.1017,-0.0377,0.4862,0.7469,0
0.8085,0.0193,0.4669,0.6778,0.3362,0.7455,0.8254,0.7295,0.1127,-0.0104,0.3025,0.8994,0
0.7521,0.0101,0.5034,0.7904,0.2309,0.5725,0.8618,0.8185,0.0744,-0.0479,0.3274,0.7975,0
0.9448,0.0465,0.4675,0.7839,0.3483,0.5502,0.7877,0.7549,0.113,-0.0111,0.4923,0.8943,0
0.8643,0.0499,0.5528,0.7868,0.2275,0.7873,0.7669,0.8485,0.096,-0.0275,0.3601,0.8386,0
0.7863,0.047,0.492,0.7901,0.2353,0.5454,0.8381,0.7437,0.1064,-0.0264,0.3997,0.7393,0
0.9008,0.0217,0.4569,0.6545,0.2865,0.7598,0.8362,0.7199,0.058,-0.0006,0.3969,0.7311,0
0.8096,0.0158,0.5664,0.6913,0.3164,0.7182,0.706,0.7713,0.0855,-0.0359,0.4604,0.8365,0
0.8308,0.0509,0.485,0.7342,0.2595,0.7356,0.718,0.8117,0.0694,-0.0407,0.3422,0.7119,0
0.7597,0.0459,0.489,0.755,0.2009,0.5085,0.8358,0.7638,0.1296,-0.037,0.4107,0.7808,0
0.8365,0.0551,0.5688,0.6562,0.2221,0.639,0.8236,0.8264,0.064,-0.0054,0.357,0.8451,0
0.8415,0.0318,0.5832,0.6941,0.2571,0.7815,0.805,0.7381,0.133,-0.0218,0.4851,0.8307,0
0.7982,0.0166,0.4959,0.7318,0.3065,0.6079,0.7165,0.8003,0.0503,-0.0289,0.4243,0.756,0
0.87,0.0413,0.5836,0.7027,0.3334,0.7718,0.8094,0.7164,0.1198,-0.0346,0.3624,0.7045,0
0.9059,0.0111,0.5517,0.6707,0.321,0.6972,0.825,0.7107,0.1058,-0.0227,0.4568,0.7047,0
0.7555,0.0332,0.5335,0.7137,0.2982,0.6135,0.8859,0.7241,0.0827,-0.0361,0.4722,0.8341,0
0.7663,0.0269,0.4602,0.6954,0.3045,0.6226,0.7799,0.7773,0.1102,-0.0095,0.3766,0.7072,0
0.7721,0.0141,0.5492,0.6924,0.3228,0.6161,0.7655,0.7474,0.1326,-0.0034,0.3396,0.7758,0
0.7738,0.0377,0.5553,0.7645,0.3209,0.5895,0.772,0.7375,0.0541,-0.0425,0.4305,0.8825,0
0.7815,0.0383,0.5063,0.7097,0.3206,0.6286,0.7481,0.8447,0.0653,-0.0175,0.4989,0.7958,0
0.7599,0.0135,0.5725,0.7445,0.2367,0.7191,0.8574,0.7721,0.0562,-0.0081,0.3903,0.7725,0
0.8627,0.0137,0.5224,0.6893,0.287,0.7785,0.7528,0.8024,0.1074,-0.0154,0.3298,0.7289,0
0.8661,0.0342,0.4903,0.7289,0.2945,0.5722,0.7382,0.8477,0.1459,-0.0059,0.3359,0.8576,0
0.7559,0.0297,0.5959,0.7463,0.3126,0.7753,0.7315,0.7739,0.0802,-0.0039,0.429,0.8769,0
0.9332,0.0168,0.5391,0.7279,0.3493,0.5107,0.8665,0.8451,0.1351,-0.0387,0.3132,0.7003,0
0.9081,0.0222,0.5411,0.6836,0.208,0.773,0.7084,0.79,0.0593,-0.0328,0.3645,0.8927,0
0.762,0.0162,0.5542,0.6535,0.2414,0.6184,0.7498,0.7367,0.0651,-0.0028,0.4942,0.8913,0
0.826,0.0585,0.4546,0.7773,0.3073,0.5248,0.7568,0.7189,0.0515,-0.0478,0.3977,0.8937,0
0.8833,0.0346,0.4598,0.772,0.2239,0.7723,0.8685,0.7578,0.1394,-0.0234,0.3256,0.7601,0
0.8645,0.0392,0.5105,0.6833,0.2234,0.5877,0.7018,0.7602,0.075,-0.0417,0.4325,0.7041,0
0.9455,0.0258,0.5361,0.7626,0.2326,0.5224,0.7786,0.7196,0.1142,-0.0117,0.3914,0.895,0
0.7938,0.0331,0.5956,0.7796,0.2689,0.6842,0.7964,0.7047,0.1081,-0.0327,0.4394,0.8428,0
0.9011,0.0435,0.4745,0.6587,0.2429,0.7159,0.7274,0.8141,0.1006,-0.0008,0.396,0.7491,0
0.7781,0.0155,0.5494,0.7818,0.2683,0.7648,0.7083,0.7782,0.099,-0.0232,0.3716,0.7655,0
0.773,0.0567,0.4606,0.7094,0.252,0.7985,0.7703,0.7065,0.1082,-0.0288,0.3396,0.8445,0
0.8586,0.0175,0.4956,0.7718,0.262,0.5516,0.7674,0.8235,0.1492,-0.0462,0.3593,0.7333,0
0.7868,0.0246,0.546,0.743,0.3288,0.6679,0.7813,0.7745,0.0538,-0.0121,0.399,0.7091,0
0.794,0.0196,0.4545,0.7006,0.2445,0.737,0.8364,0.7546,0.0573,-0.0356,0.3543,0.7403,0
0.9383,0.0222,0.5297,0.7816,0.3295,0.7309,0.7074,0.8165,0.0696,-0.0008,0.4067,0.7875,0
0.8865,0.0515,0.5899,0.7136,0.2153,0.675,0.7516,0.841,0.0682,-0.04,0.4888,0.7489,0
0.9223,0.021,0.5748,0.7387,0.2629,0.7578,0.8547,0.8424,0.1126,-0.0142,0.4318,0.8652,0
